TimesheetID,ResourceID,WBS_ID,WorkDate,HoursWorked,ApprovalStatus
TS-0141,RES-004,WBS-002,2026-04-07,8.5,Approved
TS-0142,RES-004,WBS-002,2026-04-08,8.5,Approved
TS-0143,RES-004,WBS-002,2026-04-09,8.3,Approved
TS-0144,RES-004,WBS-002,2026-04-10,8.9,Approved
TS-0145,RES-004,WBS-002,2026-04-13,8.4,Approved
TS-0146,RES-004,WBS-002,2026-04-14,8.2,Approved
TS-0147,RES-004,WBS-002,2026-04-15,8.5,Approved
TS-0148,RES-003,WBS-002,2026-02-02,2.2,Approved
TS-0149,RES-003,WBS-002,2026-02-04,1.7,Approved
TS-0150,RES-003,WBS-002,2026-02-06,1.8,Approved
TS-0151,RES-003,WBS-002,2026-02-09,2.5,Approved
TS-0152,RES-003,WBS-002,2026-02-11,2.1,Approved
TS-0153,RES-003,WBS-002,2026-02-13,1.9,Approved
TS-0154,RES-003,WBS-002,2026-02-16,2.0,Approved
TS-0155,RES-003,WBS-002,2026-02-18,1.6,Approved
TS-0156,RES-003,WBS-002,2026-02-20,1.7,Approved
TS-0157,RES-003,WBS-002,2026-02-23,1.8,Approved
TS-0158,RES-003,WBS-002,2026-02-25,2.1,Approved
TS-0159,RES-003,WBS-002,2026-02-27,1.7,Approved
TS-0160,RES-003,WBS-002,2026-03-02,1.7,Approved
TS-0161,RES-003,WBS-002,2026-03-04,1.6,Approved
TS-0162,RES-003,WBS-002,2026-03-06,2.1,Approved
TS-0163,RES-003,WBS-002,2026-03-09,1.7,Approved
TS-0164,RES-003,WBS-002,2026-03-11,2.4,Approved
TS-0165,RES-003,WBS-002,2026-03-13,2.4,Approved
TS-0166,RES-003,WBS-002,2026-03-16,1.6,Approved
TS-0167,RES-003,WBS-002,2026-03-18,1.7,Approved
TS-0168,RES-003,WBS-002,2026-03-20,2.2,Approved
TS-0169,RES-003,WBS-002,2026-03-23,1.7,Approved
TS-0170,RES-003,WBS-002,2026-03-25,1.6,Approved
TS-0171,RES-003,WBS-002,2026-03-27,2.4,Approved
TS-0172,RES-003,WBS-002,2026-03-30,2.1,Approved
TS-0173,RES-003,WBS-002,2026-04-01,2.0,Approved
TS-0174,RES-003,WBS-002,2026-04-03,2.3,Approved
TS-0175,RES-003,WBS-002,2026-04-06,2.3,Approved
TS-0176,RES-003,WBS-002,2026-04-08,1.7,Approved
TS-0177,RES-003,WBS-002,2026-04-10,1.6,Approved
TS-0178,RES-003,WBS-002,2026-04-13,1.9,Approved
TS-0179,RES-003,WBS-002,2026-04-15,1.9,Approved
TS-0180,RES-005,WBS-003,2026-04-01,7.7,Approved
TS-0181,RES-005,WBS-003,2026-04-02,7.9,Approved
TS-0182,RES-005,WBS-003,2026-04-03,7.9,Approved
TS-0183,RES-005,WBS-003,2026-04-06,8.2,Approved
TS-0184,RES-005,WBS-003,2026-04-07,7.3,Approved
TS-0185,RES-005,WBS-003,2026-04-08,7.6,Approved
TS-0186,RES-005,WBS-003,2026-04-09,7.5,Approved
TS-0187,RES-005,WBS-003,2026-04-10,8.1,Approved
TS-0188,RES-005,WBS-003,2026-04-13,7.4,Approved
TS-0189,RES-005,WBS-003,2026-04-14,7.4,Approved
TS-0190,RES-005,WBS-003,2026-04-15,7.6,Approved
TS-0191,RES-005,WBS-003,2026-04-16,7.6,Approved
TS-0192,RES-005,WBS-003,2026-04-17,7.5,Approved
TS-0193,RES-005,WBS-003,2026-04-20,7.4,Approved
TS-0194,RES-005,WBS-003,2026-04-21,8.1,Approved
TS-0195,RES-005,WBS-003,2026-04-22,7.6,Approved
TS-0196,RES-005,WBS-003,2026-04-23,8.1,Approved
TS-0197,RES-005,WBS-003,2026-04-24,7.8,Approved
TS-0198,RES-005,WBS-003,2026-04-27,7.3,Approved
TS-0199,RES-005,WBS-003,2026-04-28,8.2,Approved
TS-0200,RES-005,WBS-003,2026-04-29,8.0,Approved
TS-0201,RES-005,WBS-003,2026-04-30,8.2,Approved
TS-0202,RES-005,WBS-003,2026-05-01,8.1,Approved
TS-0203,RES-005,WBS-003,2026-05-04,8.0,Approved
TS-0204,RES-005,WBS-003,2026-05-05,7.4,Approved
TS-0205,RES-005,WBS-003,2026-05-06,7.7,Approved
TS-0206,RES-005,WBS-003,2026-05-07,7.4,Approved
TS-0207,RES-005,WBS-003,2026-05-08,7.6,Approved
TS-0208,RES-005,WBS-003,2026-05-11,7.3,Approved
TS-0209,RES-005,WBS-003,2026-05-12,7.6,Approved
TS-0210,RES-005,WBS-003,2026-05-13,8.2,Approved
TS-0211,RES-005,WBS-003,2026-05-14,7.5,Approved
TS-0212,RES-005,WBS-003,2026-05-15,8.0,Approved
TS-0213,RES-005,WBS-003,2026-05-18,7.7,Approved
TS-0214,RES-005,WBS-003,2026-05-19,7.6,Approved
TS-0215,RES-005,WBS-003,2026-05-20,8.2,Approved
TS-0216,RES-005,WBS-003,2026-05-21,8.2,Approved
TS-0217,RES-005,WBS-003,2026-05-22,7.8,Approved
TS-0218,RES-005,WBS-003,2026-05-25,7.9,Approved
TS-0219,RES-005,WBS-003,2026-05-26,7.4,Approved
TS-0220,RES-005,WBS-003,2026-05-27,7.5,Approved
TS-0221,RES-005,WBS-003,2026-05-28,8.2,Approved
TS-0222,RES-005,WBS-003,2026-05-29,7.8,Approved
TS-0223,RES-004,WBS-003,2026-04-02,4.0,Approved
TS-0224,RES-004,WBS-003,2026-04-07,4.2,Approved
TS-0225,RES-004,WBS-003,2026-04-09,3.6,Approved
TS-0226,RES-004,WBS-003,2026-04-14,4.1,Approved
TS-0227,RES-004,WBS-003,2026-04-16,4.0,Approved
TS-0228,RES-004,WBS-003,2026-04-21,4.4,Approved
TS-0229,RES-004,WBS-003,2026-04-23,3.7,Approved
TS-0230,RES-004,WBS-003,2026-04-28,4.5,Approved
TS-0231,RES-004,WBS-003,2026-04-30,3.6,Approved
TS-0232,RES-004,WBS-003,2026-05-05,3.7,Approved
TS-0233,RES-004,WBS-003,2026-05-07,4.1,Approved
TS-0234,RES-004,WBS-003,2026-05-12,4.2,Approved
TS-0235,RES-004,WBS-003,2026-05-14,3.7,Approved
TS-0236,RES-004,WBS-003,2026-05-19,3.6,Approved
TS-0237,RES-004,WBS-003,2026-05-21,4.4,Approved
TS-0238,RES-004,WBS-003,2026-05-26,3.7,Approved
TS-0239,RES-004,WBS-003,2026-05-28,4.1,Approved
TS-0240,RES-002,WBS-004,2026-06-01,4.1,Approved
TS-0241,RES-002,WBS-004,2026-06-02,3.9,Approved
TS-0242,RES-002,WBS-004,2026-06-03,4.1,Approved
TS-0243,RES-002,WBS-004,2026-06-04,4.0,Approved
TS-0244,RES-002,WBS-004,2026-06-05,4.4,Approved
TS-0245,RES-002,WBS-004,2026-06-08,3.7,Approved
TS-0246,RES-002,WBS-004,2026-06-09,4.2,Approved
TS-0247,RES-002,WBS-004,2026-06-10,3.7,Approved
TS-0248,RES-002,WBS-004,2026-06-11,3.9,Approved
TS-0249,RES-002,WBS-004,2026-06-12,4.2,Approved
TS-0250,RES-002,WBS-004,2026-06-15,3.8,Approved
TS-0251,RES-002,WBS-004,2026-06-16,3.8,Approved
TS-0252,RES-002,WBS-004,2026-06-17,4.3,Approved
TS-0253,RES-002,WBS-004,2026-06-18,3.6,Approved
TS-0254,RES-002,WBS-004,2026-06-19,4.0,Approved
TS-0255,RES-002,WBS-004,2026-06-22,4.5,Approved
TS-0256,RES-002,WBS-004,2026-06-23,4.5,Approved
TS-0257,RES-002,WBS-004,2026-06-24,3.6,Approved
TS-0258,RES-002,WBS-004,2026-06-25,3.7,Approved
TS-0259,RES-002,WBS-004,2026-06-26,3.8,Approved
TS-0260,RES-002,WBS-004,2026-06-29,4.4,Approved
TS-0261,RES-002,WBS-004,2026-06-30,4.4,Approved
TS-0262,RES-005,WBS-004,2026-06-01,7.9,Approved
TS-0263,RES-005,WBS-004,2026-06-02,7.4,Approved
TS-0264,RES-005,WBS-004,2026-06-03,7.2,Approved
TS-0265,RES-005,WBS-004,2026-06-04,7.8,Approved
TS-0266,RES-005,WBS-004,2026-06-05,7.7,Approved
TS-0267,RES-005,WBS-004,2026-06-08,7.6,Approved
TS-0268,RES-005,WBS-004,2026-06-09,8.0,Approved
TS-0269,RES-005,WBS-004,2026-06-10,7.7,Approved
TS-0270,RES-005,WBS-004,2026-06-11,7.0,Approved
TS-0271,RES-005,WBS-004,2026-06-12,7.8,Approved
TS-0272,RES-005,WBS-004,2026-06-15,7.3,Approved
TS-0273,RES-005,WBS-004,2026-06-16,7.7,Approved
TS-0274,RES-005,WBS-004,2026-06-17,7.9,Approved
TS-0275,RES-005,WBS-004,2026-06-18,7.1,Approved
TS-0276,RES-005,WBS-004,2026-06-19,7.1,Approved
TS-0277,RES-005,WBS-004,2026-06-22,7.1,Approved
TS-0278,RES-005,WBS-004,2026-06-23,7.6,Approved
TS-0279,RES-005,WBS-004,2026-06-24,7.3,Approved
TS-0280,RES-005,WBS-004,2026-06-25,7.6,Approved
TS-0281,RES-005,WBS-004,2026-06-26,7.7,Approved
TS-0282,RES-005,WBS-004,2026-06-29,7.2,Approved
TS-0283,RES-005,WBS-004,2026-06-30,7.6,Approved
TS-0284,RES-001,WBS-004,2026-06-02,2.8,Approved
TS-0285,RES-001,WBS-004,2026-06-04,3.0,Approved
TS-0286,RES-001,WBS-004,2026-06-09,3.4,Approved
TS-0287,RES-001,WBS-004,2026-06-11,3.3,Approved
TS-0288,RES-001,WBS-004,2026-06-16,2.6,Approved
TS-0289,RES-001,WBS-004,2026-06-18,2.9,Approved
TS-0290,RES-001,WBS-004,2026-06-23,2.8,Approved
TS-0291,RES-001,WBS-004,2026-06-25,2.5,Approved
TS-0292,RES-001,WBS-004,2026-06-30,3.3,Approved
TS-3001,RES-003,WBS-007,2026-05-15,350.0,Approved
TS-4001,RES-003,WBS-009,2026-03-20,480.0,Approved
TS-4002,RES-004,WBS-010,2026-04-10,1100.0,Approved
TS-5001,RES-001,WBS-011,2026-02-28,220.0,Approved
TS-5002,RES-004,WBS-012,2026-03-15,800.0,Approved
TS-6001,RES-003,WBS-013,2025-10-25,190.0,Approved
TS-6002,RES-004,WBS-014,2025-11-20,480.0,Approved
